数据分解,,,,破损,磨损
刀号,转速S,进给F,模型（客户选择）,崩缺调整系数α（0.1-100）,磨损调整系数β（0.1-100）
T01,8000,1000,AAAA,1,5
T02,15000,5000,AAAA,1,5
T03,5000,2000,AAAA,1,5
T04,15000,2000,AAAA,1,5
T05,15000,2000,AAAA,1,5
T06,15000,2000,AAAA,1,5
T07,15000,1000,AAAA,1,5
T08,15000,3000,AAAA,1,5
T09,15000,2000,AAAA,1,5
T10,15000,2000,AAAA,1,5
T11,15000,2000,AAAA,1,5
T12,15000,2000,AAAA,1,5
T13,15000,2000,AAAA,1,5
T14,15000,2000,AAAA,1,5
T15,15000,2000,AAAA,1,5
T16,15000,2000,AAAA,1,5
T17,15000,2000,AAAA,1,5
T18,15000,2000,AAAA,1,5
T19,15000,2000,AAAA,1,5
T20,15000,2000,AAAA,1,5
